name,rating_nums,summary,author,peple_nums
如何阅读一本书,8.4,读书的方法论,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元,"(
                    35921人评价
                )"
一個人住第5年,8.4,独居生活之乐,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,"(
                    35529人评价
                )"
步步惊心,8.1,现世太苦，不如穿越回去从头来过,桐华 / 民族出版社 / 2006-6 / 25.00元,"(
                    36170人评价
                )"
常识,8.1,献给这个常识稀缺的时代,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,"(
                    36385人评价
                )"
时间旅行者的妻子,8.1,在时间的缝隙中穿行，然后相遇,[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元,"(
                    36071人评价
                )"
寻路中国,9.0,中国在路上，非虚构写作所能达到的高度,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,"(
                    32038人评价
                )"
荆棘鸟,8.6,澳洲乱世情,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,"(
                    32993人评价
                )"
一个人的朝圣,8.1,关于爱和信念的旅行,【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80,"(
                    35443人评价
                )"
阿Q正传,8.7,哀其不幸，怒其不争,鲁迅 / 上海书店出版社 / 2003-7 / 14.50元,"(
                    32716人评价
                )"
哭泣的骆驼,8.9,沙漠中寻常的生与死,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,"(
                    31316人评价
                )"
刀锋,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,"(
                    30836人评价
                )"
孩子你慢慢来,8.8,我们现在怎样做母亲,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,"(
                    31421人评价
                )"
失恋33天,8.1,失恋是一种病，痊愈之后百毒不侵,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,"(
                    34402人评价
                )"
一只特立独行的猪,8.8,生活就是个缓慢受锤的过程，至少还可以特立独行,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,"(
                    31184人评价
                )"
你好，旧时光（上 下）,8.8,原作名切题,八月长安 / 新世界出版社 / 2009-12 / 39.80元,"(
                    30373人评价
                )"
格林童话全集,8.9,许多隐晦,格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,"(
                    29973人评价
                )"
